Time,1,2,3,4,5
5.722656,13.956741,3.323033,0.930449,7.044831,38.680110
5.726562,14.222583,4.652247,-1.196292,7.044831,43.199435
5.730469,14.488426,6.513146,-3.588876,8.108202,47.984604
5.734375,15.020111,9.437415,-4.386404,9.969100,52.238087
5.738281,15.817639,12.095842,-2.259663,11.032471,54.630671
5.742188,16.083482,13.956741,2.525505,10.234943,55.694041
5.746094,16.083482,14.222583,6.247303,8.108202,55.959884
5.750000,15.285954,14.222583,6.778988,5.449775,54.896513
5.753906,14.754269,14.222583,5.183932,2.791348,53.567300
5.757812,15.020111,14.488426,1.993820,0.132921,52.238087
5.761719,15.551797,14.488426,0.132921,-2.259663,50.908873
5.765625,16.083482,14.222583,0.398764,-3.854719,50.377188
5.769531,17.944381,13.690898,0.132921,-5.449775,49.845502
5.773438,19.007752,13.159213,-2.791348,-6.247303,49.579660
5.777344,19.539437,12.627527,-6.247303,-6.247303,49.047974
5.781250,19.805280,12.893370,-6.778988,-5.981460,47.718761
5.785156,20.071122,13.956741,-4.386404,-5.449775,46.655390
5.789062,20.602808,15.285954,-0.132921,-4.386404,46.123705
5.792969,22.197864,16.615167,3.057191,-3.588876,46.389548
5.796875,24.058762,17.678538,5.183932,-3.057191,46.921233
5.800781,25.122133,17.944381,9.969100,-1.727977,46.123705
5.804688,25.387976,18.210224,13.425055,-0.930449,44.262806
5.808594,24.856291,17.678538,9.437415,-0.398764,42.667750
5.812500,24.058762,16.083482,0.398764,0.930449,41.338537
5.816406,22.463706,14.754269,-5.981460,4.652247,40.275166
5.820312,20.071122,13.425055,-6.778988,9.437415,38.945953
5.824219,17.412696,12.095842,-4.918090,15.285954,38.148425
5.828125,15.817639,11.298314,-2.791348,23.792920,38.680110
5.832031,13.956741,9.969100,-3.323033,34.426627,38.945953
5.835938,10.234943,7.044831,-6.778988,46.123705,38.945953
5.839844,3.854719,2.525505,-10.500786,59.415839,38.148425
5.843750,-2.525505,-3.057191,-11.298314,73.505501,37.882582
5.847656,-8.639887,-8.639887,-7.842359,85.202579,37.882582
5.851562,-13.159213,-12.627527,-3.588876,93.443702,38.148425
5.855469,-16.083482,-14.754269,-5.449775,97.697185,37.882582
5.859375,-18.210224,-15.551797,-15.817639,98.760555,37.350896
5.863281,-19.007752,-15.817639,-28.312245,97.431342,36.553368
5.867188,-18.210224,-16.083482,-36.287526,93.709545,35.489998
5.871094,-15.551797,-16.083482,-34.958312,89.721904,33.363256
5.875000,-13.159213,-15.551797,-25.122133,84.405051,32.034043
5.878906,-11.564157,-13.956741,-16.083482,77.227298,30.704829
5.882812,-9.969100,-11.298314,-19.273594,68.188647,29.641459
5.886719,-7.576516,-8.905730,-29.375616,58.884154,29.109773
5.890625,-4.918090,-7.576516,-32.034043,50.908873,27.780560
5.894531,-2.791348,-6.778988,-25.653819,43.465278,25.387976
5.898438,-1.462135,-6.247303,-16.881010,36.021683,21.666178
5.902344,-1.727977,-6.513146,-8.108202,29.641459,16.881010
5.906250,-2.791348,-7.310674,-0.132921,24.324605,12.095842
5.910156,-3.057191,-7.576516,2.525505,19.273594,8.639887
5.914062,-1.727977,-6.778988,-0.132921,14.222583,5.981460
5.917969,-0.132921,-5.449775,-3.854719,9.703258,3.588876
5.921875,1.196292,-3.854719,-5.183932,4.918090,1.196292
5.925781,2.525505,-2.791348,-0.930449,-0.930449,-0.664607
5.929688,3.057191,-1.462135,2.525505,-7.310674,-2.525505
5.933594,3.323033,-0.930449,2.525505,-12.627527,-4.386404
5.937500,2.525505,-1.196292,0.664607,-17.412696,-6.247303
5.941406,0.132921,-2.259663,-3.057191,-22.197864,-9.171572
5.945312,-3.588876,-4.652247,-11.829999,-27.248875,-12.095842
5.949219,-6.513146,-7.576516,-24.324605,-30.970672,-14.488426
5.953125,-8.374044,-10.766629,-33.363256,-33.363256,-16.083482
5.957031,-9.437415,-13.690898,-36.553368,-36.021683,-18.476066
5.960938,-10.766629,-16.083482,-35.224155,-38.945953,-20.602808
5.964844,-12.627527,-19.273594,-27.248875,-41.870222,-22.463706
5.968750,-15.020111,-22.197864,-21.666178,-45.857862,-24.590448
5.972656,-17.678538,-25.122133,-26.717189,-49.579660,-27.248875
5.976562,-21.134493,-27.248875,-32.831571,-51.972244,-29.907301
5.980469,-24.590448,-28.578088,-33.363256,-54.098985,-32.034043
5.984375,-26.451347,-29.109773,-26.983032,-55.959884,-33.363256
5.988281,-26.983032,-28.843931,-8.639887,-57.554940,-34.426627
5.992188,-26.983032,-28.578088,19.805280,-59.149996,-34.426627
5.996094,-25.919661,-28.046403,46.655390,-61.542580,-33.629099
6.000000,-24.590448,-27.514717,61.542580,-63.137636,-32.034043
6.003906,-23.792920,-27.514717,68.720333,-63.669322,-29.375616
6.007812,-23.261234,-26.451347,83.341680,-62.605951,-26.451347
6.011719,-22.197864,-24.058762,97.697185,-60.745052,-23.792920
6.015625,-20.071122,-20.602808,82.809995,-58.884154,-21.932021
6.019531,-17.412696,-16.083482,33.363256,-57.820783,-20.336965
6.023438,-14.222583,-11.298314,-31.768200,-57.820783,-18.741909
6.027344,-11.564157,-6.778988,-99.292241,-58.086625,-17.412696
6.031250,-10.500786,-2.791348,-145.283024,-57.554940,-16.615167
6.035156,-11.564157,-1.462135,-149.270665,-55.694041,-16.881010
6.039062,-14.488426,-3.057191,-134.649317,-53.567300,-17.412696
6.042969,-17.146853,-5.449775,-128.003250,-51.174716,-16.881010
6.046875,-17.944381,-5.449775,-117.369543,-48.782132,-16.083482
6.050781,-16.881010,-3.588876,-84.139208,-46.389548,-15.551797
6.054688,-14.222583,-0.132921,-39.477638,-45.060334,-14.754269
6.058594,-10.234943,4.386404,3.057191,-44.262806,-13.425055
6.062500,-7.310674,7.310674,35.224155,-43.465278,-11.829999
6.066406,-5.715618,8.108202,38.414267,-43.199435,-10.766629
6.070312,-5.183932,8.108202,18.210224,-44.528649,-10.766629
6.074219,-5.449775,7.576516,-0.398764,-45.857862,-10.766629
6.078125,-5.715618,5.981460,-9.437415,-46.921233,-9.969100
6.082031,-5.183932,4.652247,1.993820,-47.452918,-8.639887
6.085938,-4.652247,4.918090,32.831571,-47.187076,-7.576516
6.089844,-3.057191,6.247303,55.959884,-46.123705,-7.310674
6.093750,-1.196292,7.044831,61.808423,-44.262806,-7.044831
6.097656,0.664607,7.576516,61.010895,-42.667750,-6.247303
6.101562,3.057191,7.842359,59.681682,-41.072694,-5.183932
6.105469,5.981460,9.703258,53.301457,-38.148425,-3.588876
6.109375,8.639887,12.361685,42.933593,-34.958312,-1.993820
6.113281,10.234943,14.754269,33.363256,-33.363256,-0.930449
6.117188,11.032471,15.817639,25.919661,-32.831571,-0.664607
6.121094,11.564157,15.551797,21.400336,-32.034043,-0.930449
6.125000,8.905730,12.095842,21.134493,-32.565728,-2.791348
6.128906,3.854719,7.310674,25.387976,-33.629099,-5.715618
6.132812,-0.664607,3.854719,30.704829,-32.831571,-8.905730
6.136719,-3.854719,2.791348,32.299886,-29.907301,-12.095842
6.140625,-4.918090,3.323033,30.970672,-28.046403,-13.956741
6.144531,-3.854719,4.386404,29.375616,-27.514717,-14.754269
6.148438,-2.525505,5.715618,30.970672,-28.046403,-14.488426
6.152344,-1.196292,7.576516,27.248875,-28.312245,-13.690898
6.156250,-0.132921,9.437415,18.210224,-26.717189,-12.361685
6.160156,-0.132921,8.905730,21.134493,-22.995392,-10.234943
6.164062,-1.993820,5.715618,21.666178,-19.007752,-8.374044
6.167969,-5.183932,1.993820,10.500786,-16.083482,-7.310674
6.171875,-8.108202,-0.398764,9.969100,-14.754269,-7.044831
6.175781,-8.639887,0.132921,17.944381,-13.425055,-7.310674
6.179688,-8.374044,1.727977,19.805280,-11.564157,-8.108202
6.183594,-10.766629,-0.664607,19.805280,-9.703258,-8.905730
6.187500,-13.159213,-3.588876,23.527077,-8.374044,-9.703258
6.191406,-12.893370,-3.854719,28.046403,-7.842359,-9.969100
6.195312,-12.361685,-3.057191,28.046403,-8.905730,-9.969100
6.199219,-12.627527,-3.588876,21.666178,-9.969100,-9.969100
6.203125,-12.893370,-4.652247,8.639887,-10.500786,-9.171572
6.207031,-11.032471,-3.854719,-1.727977,-11.032471,-7.842359
6.210938,-8.108202,-0.930449,7.310674,-11.564157,-7.310674
6.214844,-5.183932,2.259663,28.578088,-11.032471,-8.108202
6.218750,-3.588876,4.386404,39.477638,-8.905730,-9.437415
6.222656,-2.525505,5.449775,34.160784,-6.247303,-10.766629
6.226562,-1.196292,5.981460,16.615167,-4.918090,-12.361685
6.230469,-0.132921,5.981460,7.310674,-3.854719,-13.690898
6.234375,-0.930449,6.247303,18.210224,-3.854719,-15.551797
6.238281,-2.791348,5.715618,27.514717,-3.854719,-18.476066
6.242188,-5.449775,4.386404,22.995392,-3.323033,-21.400336
6.246094,-8.639887,1.462135,21.932021,-1.993820,-23.792920
6.250000,-12.361685,-1.727977,33.629099,-0.664607,-25.387976
6.253906,-15.020111,-3.854719,45.857862,-0.398764,-25.919661
6.257812,-15.817639,-4.918090,44.528649,-0.664607,-26.451347
6.261719,-16.083482,-4.918090,36.819211,-0.664607,-26.451347
6.265625,-16.083482,-4.918090,31.768200,-0.132921,-25.653819
6.269531,-15.285954,-4.918090,28.312245,-0.132921,-23.527077
6.273438,-14.222583,-5.183932,19.007752,-0.398764,-20.602808
6.277344,-12.627527,-4.918090,8.108202,-0.132921,-16.881010
6.281250,-9.969100,-3.854719,6.513146,0.930449,-13.159213
6.285156,-7.044831,-2.259663,11.564157,1.196292,-10.234943
6.289062,-5.183932,-0.664607,18.476066,-0.132921,-8.639887
6.292969,-3.057191,0.398764,17.146853,-2.259663,-7.310674
6.296875,-0.132921,3.323033,3.588876,-3.323033,-5.449775
6.300781,2.259663,6.513146,1.727977,-2.791348,-3.323033
6.304688,2.259663,7.044831,15.551797,-1.462135,-1.196292
6.308594,0.132921,5.183932,17.412696,-0.132921,0.930449
6.312500,-1.462135,2.525505,-0.132921,1.462135,2.791348
6.316406,-1.993820,0.664607,-20.868650,2.259663,4.652247
6.320312,-2.525505,-1.727977,-31.502358,2.525505,5.981460
6.324219,-3.854719,-4.652247,-29.375616,2.791348,6.247303
6.328125,-6.778988,-7.310674,-27.514717,2.525505,5.449775
6.332031,-8.374044,-8.905730,-39.743481,1.727977,5.183932
6.335938,-8.639887,-9.969100,-56.225727,0.398764,4.918090
6.339844,-9.703258,-10.766629,-64.998535,-0.132921,4.652247
6.343750,-10.500786,-9.969100,-66.327749,-0.132921,3.323033
6.347656,-9.703258,-8.374044,-66.859434,0.132921,1.462135
6.351562,-7.842359,-6.247303,-70.581231,0.930449,0.398764
6.355469,-5.981460,-4.386404,-71.644602,1.196292,-0.398764
6.359375,-4.918090,-3.057191,-66.327749,0.930449,-1.462135
6.363281,-4.386404,-3.323033,-59.947524,0.132921,-1.727977
6.367188,-3.588876,-4.386404,-62.074266,0.398764,-0.930449
6.371094,-1.993820,-4.918090,-68.188647,1.993820,0.398764
6.375000,0.132921,-4.652247,-61.276738,3.588876,1.462135
6.378906,3.323033,-3.057191,-48.516289,3.854719,1.727977
6.382812,6.513146,0.398764,-39.743481,3.588876,1.993820
6.386719,8.905730,4.386404,-32.565728,3.057191,2.259663
6.390625,10.234943,7.044831,-29.907301,2.525505,1.993820
6.394531,11.298314,8.374044,-30.704829,2.525505,1.462135
6.398438,11.564157,8.639887,-30.173144,2.259663,1.462135
6.402344,12.361685,9.171572,-31.236515,1.727977,1.993820
6.406250,13.956741,9.703258,-33.363256,2.259663,2.791348
6.410156,14.754269,8.905730,-30.704829,3.854719,3.323033
